"id","frameCond","timeCond","startDate","endDate","recordedDate","durationSecs","consent","sliderTraining","dgComp","manipCheckPre","dgFirstClickSecs","dgLastClickSecs","dgPageSubmitSecs","dgClickCount","dgAmountGiven","explanation","experience","manipCheckPost","studyPurpose","debrief","prolificApprovals","fluentLanguages","age","sex","ethnicity","countryBirth","countryResidence","nationality","language","student","employment"
1127,"Control","Delay",2023-08-20 17:50:02,2023-08-20 17:53:22,2023-08-20 17:53:23,199,"I consent to participate in this study. Take me to the study.",0.82,"You would earn $0.75, and the other person would earn $0.25","they are anonymous and random",10.393,10.393,12.305,1,0.5,"seems the most fair","Some experience","anonymous and random","generosity","No, I would like to complete the study.",1233,"English",35,"Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1128,"Debt","Delay",2023-08-20 17:41:12,2023-08-20 17:53:36,2023-08-20 17:53:37,743,"I consent to participate in this study. Take me to the study.",0.36,"You would earn $0.75, and the other person would earn $0.25","The matched person took the option to multiply their $0.25 by four.  This person gifted me $1.00. That the other person does not know who I am.",23.523,27.099,28.317,5,0,"I am no way obligated to give this person anything.  I appreciate the money given me, but I did not ask for it nor am obligated to return it.","Some experience","That person & I are anonymous to one another & chose to gift me the $1.00.","Financial\economic decision making as stated.","No, I would like to complete the study.",659,"English",60,"Male","Mixed","United States","United States","United States","English","No","Full-Time"
1129,"Control","Delay",2023-08-20 17:48:30,2023-08-20 17:54:01,2023-08-20 17:54:01,331,"I consent to participate in this study. Take me to the study.",0.56,"You would earn $0.75, and the other person would earn $0.25","They will be randomly matched and will receive the money I allocate to them",21.177,21.177,25.655,1,0.5,"Trying to be fair","A lot of experience","They are randomly assigned and anonymous from Prolific. They will receive the money I allocated to them.","How much money I would give to another participant I would never meet. BTW, I'm willing to guess there is no other participant, but I chose to be fair anyway on principle.","No, I would like to complete the study.",1032,"Polish, English, Spanish",36,"Male","White","United States","United States","United States","Polish","No","Other"
1130,"Need","Delay",2023-08-20 17:50:12,2023-08-20 17:54:34,2023-08-20 17:54:35,262,"I consent to participate in this study. Take me to the study.",0.99,"You would earn $0.75, and the other person would earn $0.25","they receive food from a soup kitchen",11.099,11.099,16.386,1,0.25,"it was arbitrary. I wasn't convinced that the recipient was real","No experience","they lack regular access to food and receive several meals from a soup kitchen","empathy?","No, I would like to complete the study.",556,"English",53,"Male","White","United States","United States","United States","English","No","Full-Time"
1131,"Debt","Delay",2023-08-20 17:50:08,2023-08-20 17:54:40,2023-08-20 17:54:41,271,"I consent to participate in this study. Take me to the study.",0.6,"You would earn $0.75, and the other person would earn $0.25","Whatever amount you gave the other person they can choose to send it back at 4 times the amount",4.904,4.904,12.392,1,1,"I thought it would be a nice gesture","Some experience","Just that they were another Prolific worker","I have no clue","No, I would like to complete the study.",1163,"English",59,"Female","White","United States","United States","United States","English",NA,NA
1132,"Debt","Pressure",2023-08-20 17:45:19,2023-08-20 17:54:46,2023-08-20 17:54:46,566,"I consent to participate in this study. Take me to the study.",1,"You would earn $0.75, and the other person would earn $0.25","The other person was given .25 and was told it would be time 4.  The the $1 would be transferred back to me.",2.791,6.586,8.183,3,0.5,"seems only fair","Some experience","It was a random person choosen from prolific survey takers, they were given .25 it was times 4 then returned to me.","How my response would be if the other person gave me money.","No, I would like to complete the study.",947,"English",53,"Female","White","United States","United States","United States","English","No","Full-Time"
1133,"Debt","Delay",2023-08-20 17:47:11,2023-08-20 17:55:01,2023-08-20 17:55:01,469,"I consent to participate in this study. Take me to the study.",0.42,"You would earn $0.75, and the other person would earn $0.25","They do not know me and I do not know them. They took $.25 and multiplied it by four to give me $1.",8.962,9.591,43.064,2,0.25,"I thought it was fair to give back $.25.","Some experience","I don't know them and they don't know me.","No idea.","No, I would like to complete the study.",427,"English",33,"Male","White","United States","United States","United States","English","No","Full-Time"
1134,"Debt","Pressure",2023-08-20 17:50:11,2023-08-20 17:55:01,2023-08-20 17:55:01,290,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","person gave .25 X4 $1",8.565,8.565,10.209,1,0.51,"half","Some experience","that they gave $1","not real sure","No, I would like to complete the study.",4582,"English",70,"Male","White","United States","United States","United States","English",NA,NA
1135,"Control","Pressure",2023-08-20 17:49:21,2023-08-20 17:55:05,2023-08-20 17:55:05,344,"I consent to participate in this study. Take me to the study.",0.87,"You would earn $0.75, and the other person would earn $0.25","They were randomly and anonymously chosen from Prolific, we will never know who the other is",2.77,2.77,4.383,1,0.5,"Since there were two people involved it seemed fair to just split the money. It was also only $0.50 which isn't a big deal.","Some experience","They were a randomly and anonymously chosen Prolific participant.","How much money participants are willing to give to another person when they have no incentive and why they decide to give what they do.","No, I would like to complete the study.",343,"English",22,"Female","Black","United States","United States","United States","English","No","Part-Time"
1136,"Debt","Delay",2023-08-20 17:53:39,2023-08-20 17:55:17,2023-08-20 17:55:18,98,"I consent to participate in this study. Take me to the study.",0.59,"You would earn $0.75, and the other person would earn $0.25","They can quadruple the money and send it back.",0,0,3.023,0,0.15,"I chose to go in because they had a choice to return money.","Some experience","They were able to quadruple the money and send it back.
","I don't know.","No, I would like to complete the study.",1655,"English, French, Spanish",34,"Male","White","United States","United States","United States","English",NA,NA
1137,"Need","Delay",2023-08-20 17:51:58,2023-08-20 17:55:42,2023-08-20 17:55:43,224,"I consent to participate in this study. Take me to the study.",0.49,"You would earn $0.75, and the other person would earn $0.25","They have low income and recieve food from a soup kitchen",8.576,9.133,13.658,2,0,"I know that there is no real other participant who will recieve the money","Some experience","They are low income and sometimes receive meals from a soup kitchen","Levels of empathy towards other people with less fortunate situations","No, I would like to complete the study.",721,"English",24,"Female","Asian","United States","United States","United States","English",NA,NA
